# url, title, company, city
https://jobs.lever.co/gopuff/6e014b6f-34b0-45c0-b875-3c0ef8222c97, Operations Associate, Starbucks Barista, Bronx, #620, gopuff (New York)
https://jobs.lever.co/gopuff/61063b62-f785-441e-b48d-bebbe74150db, Operations Associate, Starbucks Barista, Bronx, #621, gopuff (New York)
https://jobs.lever.co/gopuff/335e85f6-fe89-4173-8213-319aba6925d5, Operations Associate, Starbucks Barista, Bronx, #637, gopuff (New York)
https://jobs.lever.co/gopuff/640177a4-50ec-4987-8264-1c5bb44861e8, Operations Associate, Starbucks Barista, Brooklyn, #1041, gopuff (New York)
https://jobs.lever.co/gopuff/f9155c69-bcec-4802-b513-57188ab4a04f, Operations Associate, Starbucks Barista, Brooklyn, #554, gopuff (New York)
https://jobs.lever.co/gopuff/0f4f6149-b0b5-421d-8c31-ff5ae453b1cf, Operations Associate, Starbucks Barista, Brooklyn, #629, gopuff (New York)
https://jobs.lever.co/gopuff/55007466-ced4-4ba8-8dd0-e7179a2ac824, Operations Associate, Starbucks Barista, Brooklyn, #892, gopuff (New York)
https://jobs.lever.co/gopuff/84b38688-3e37-4d7d-925f-51f9449889b2, Operations Associate, Starbucks Barista, Jamaica, #881, gopuff (New York)
https://jobs.lever.co/gopuff/ef1a1666-d21f-4cbd-b9ee-21846fb6b625, Operations Associate, Starbucks Barista, Manhattan, #807, gopuff (New York)
https://jobs.lever.co/gopuff/45243edd-6fe8-47ea-9e15-0de23e827933, Operations Associate, Starbucks Barista, New York, #839, gopuff (New York)
https://jobs.lever.co/gopuff/3c52eacc-285c-4166-b09c-9524714ce3c7, Operations Associate, Starbucks Barista, New York, #880, gopuff (New York)
https://jobs.lever.co/gopuff/0a74ad88-d439-40f9-841c-8a49bd2d0e50, Operations Associate, Starbucks Barista, New York, #975, gopuff (New York)
https://jobs.lever.co/gopuff/7dda3271-07ae-4b54-b751-f6a86c05e1c8, Operations Associate, Starbucks Barista, Queens, #1025, gopuff (New York)
https://jobs.lever.co/gopuff/a99b1046-cfe1-4028-8d1d-54b3294f41d0, Operations Associate, Syracuse, gopuff (New York)
https://jobs.lever.co/gopuff/b7139d5f-df38-4e23-b81e-74db6c75942d, Operations Associate, Syracuse, #1545, gopuff (New York)
https://jobs.lever.co/gopuff/220f4f1b-0e7b-421c-b228-08d0520a282c, Operations Associate, Upper East Side, #839, gopuff (New York)
https://jobs.lever.co/gopuff/079503e3-631a-4dca-8ae6-4ac9d20029f0, Retail Sales Associate, Bayshore, #399, gopuff (San Francisco)
https://jobs.lever.co/gopuff/d0b79f69-4abe-46db-899d-1256d85673ac, Retail Sales Associate, San Francisco Geary, #504, gopuff (San Francisco)
https://jobs.lever.co/gopuff/77163538-56bb-4d73-b482-f46b43f0bbcc, Retail Sales Associates, San-Francisco-Van-Ness, #434, gopuff (San Francisco)
https://jobs.lever.co/gopuff/cc01205a-1719-479f-acd6-b44e758d0674, WW&S Operations Associate, Brooklyn, #554, gopuff (New York)
